,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
1398,1399,95.0,1.0,USA,33000000.0,205399422.0,181225,784.0,199.0,0,116.0,45000.0,645.0,481.0,47203,6.6,Good
3218,3219,93.0,0.0,USA,10000000.0,365734.0,11487,226.0,115.0,952,787.0,787.0,96.0,0.0,883,5.0,Fair
3885,3886,90.0,0.0,USA,4000000.0,101055.0,17478,159.0,274.0,0,0.0,648.0,529.0,231.0,1951,5.0,Fair
3231,3232,125.0,1.0,Mexico,10000000.0,169379.0,683,3.0,12.0,874,21.0,78.0,61.0,36.0,221,6.2,Good
2711,2712,107.0,1.0,UK,15000000.0,7757130.0,307639,513.0,300.0,32000,454.0,65.0,49.0,39.0,173,8.0,Good
1092,1093,107.0,5.0,USA,45000000.0,60786269.0,90539,379.0,155.0,0,18.0,811.0,625.0,560.0,3106,5.6,Fair
1624,1625,95.0,3.0,USA,19000000.0,58156435.0,37479,152.0,94.0,0,65.0,506.0,316.0,246.0,1266,5.9,Fair
2432,2433,91.0,0.0,USA,18000000.0,16702864.0,8023,49.0,54.0,591,38.0,17000.0,632.0,362.0,18711,5.2,Fair
3802,3803,92.0,0.0,UK,2500000.0,,10056,82.0,80.0,639,46.0,570.0,337.0,141.0,1258,6.2,Good
1065,1066,118.0,0.0,USA,46000000.0,67263182.0,218771,651.0,185.0,0,22000.0,14000.0,509.0,319.0,15658,7.2,Good
1013,1014,96.0,1.0,USA,25000000.0,17114882.0,189249,398.0,356.0,0,0.0,10000.0,6000.0,509.0,17211,7.7,Good
1222,1223,82.0,0.0,USA,40000000.0,66466372.0,75345,290.0,221.0,0,160.0,164000.0,137000.0,748.0,303717,5.2,Fair
2858,2859,112.0,2.0,USA,13000000.0,22858926.0,254404,840.0,242.0,0,0.0,512.0,216.0,213.0,1171,7.8,Good
3595,3596,144.0,0.0,USA,8000000.0,20400000.0,6304,87.0,32.0,403,54.0,469.0,436.0,332.0,2037,6.9,Good
4974,4975,87.0,0.0,USA,60000.0,536767.0,1622,83.0,32.0,30,0.0,1000.0,184.0,153.0,1362,5.3,Fair
4844,4845,95.0,3.0,USA,300000.0,2468.0,241,5.0,10.0,261,0.0,685.0,665.0,309.0,2048,4.8,Fair
2496,2497,90.0,0.0,Canada,20000000.0,45670855.0,67978,279.0,178.0,12000,52.0,723.0,346.0,298.0,1978,5.6,Fair
1969,1970,110.0,1.0,USA,25000000.0,28831145.0,39357,113.0,159.0,14000,425.0,3000.0,466.0,148.0,3757,6.8,Good
270,271,120.0,0.0,USA,110000000.0,24004159.0,68720,191.0,188.0,0,153.0,1000.0,1000.0,447.0,3175,5.8,Fair
930,931,112.0,1.0,USA,50000000.0,218628680.0,471644,623.0,457.0,74000,3000.0,15000.0,3000.0,1000.0,21773,7.0,Good
851,852,98.0,1.0,USA,55000000.0,89706988.0,126746,600.0,231.0,0,124.0,931.0,507.0,354.0,2287,6.2,Good
4301,4302,96.0,2.0,UK,,,2081,21.0,44.0,224,222.0,5000.0,497.0,20.0,5535,7.1,Good
4716,4717,102.0,2.0,France,,,389,1.0,18.0,36,12.0,541.0,8.0,2.0,553,7.2,Good
4787,4788,98.0,1.0,USA,225000.0,2938208.0,7143,52.0,71.0,865,89.0,88.0,74.0,3.0,173,7.5,Good
1256,1257,123.0,1.0,Germany,40000000.0,36283504.0,104564,587.0,138.0,0,541.0,12000.0,638.0,173.0,12970,6.5,Good
4091,4092,90.0,0.0,USA,,4033268.0,9808,53.0,133.0,0,132.0,1000.0,864.0,547.0,3692,6.6,Good
186,187,115.0,3.0,USA,120000000.0,292298923.0,185394,329.0,322.0,65000,386.0,21000.0,17000.0,12000.0,59177,5.5,Fair
3208,3209,87.0,2.0,France,10000000.0,1276984.0,11403,150.0,90.0,795,0.0,975.0,537.0,503.0,3059,6.2,Good
1865,1866,120.0,0.0,USA,30000000.0,499263.0,179235,2814.0,406.0,13000,0.0,260.0,252.0,113.0,705,7.1,Good
4796,4797,96.0,2.0,USA,100000.0,11798.0,179,18.0,8.0,39,14.0,361.0,14.0,6.0,387,4.7,Fair
2865,2866,118.0,0.0,Ireland,13000000.0,14677654.0,161288,351.0,421.0,72000,412.0,805.0,681.0,491.0,2499,8.3,Excellent
1621,1622,99.0,2.0,USA,30000000.0,60269340.0,34079,97.0,145.0,0,5.0,2000.0,1000.0,966.0,6930,6.0,Fair
3253,3254,84.0,5.0,USA,10000000.0,,553,3.0,4.0,119,5.0,670.0,608.0,482.0,2739,5.2,Fair
2623,2624,113.0,8.0,USA,15000000.0,55184721.0,9811,100.0,41.0,1000,0.0,2000.0,721.0,607.0,6510,5.6,Fair
4677,4678,89.0,1.0,USA,,7705974.0,3543,8.0,5.0,614,15.0,312.0,135.0,95.0,548,7.5,Good
3782,3783,98.0,1.0,USA,5000000.0,296665.0,12675,158.0,39.0,0,13.0,3000.0,971.0,600.0,5185,6.3,Good
503,504,104.0,0.0,France,40000000.0,19406406.0,7630,42.0,113.0,0,63.0,67.0,63.0,7.0,152,7.8,Good
2572,2573,100.0,0.0,Germany,16000000.0,15500000.0,51996,302.0,111.0,0,9.0,599.0,380.0,363.0,2389,7.0,Good
3386,3387,117.0,1.0,USA,8300000.0,,2311,25.0,55.0,638,133.0,471.0,277.0,86.0,858,6.4,Good
2108,2109,100.0,1.0,USA,22000000.0,19783777.0,82804,154.0,203.0,15000,39.0,26000.0,11000.0,798.0,39989,6.5,Good
3673,3674,111.0,0.0,USA,7000000.0,6200756.0,96129,488.0,122.0,5000,72.0,19000.0,12000.0,722.0,34106,7.4,Good
4071,4072,100.0,0.0,USA,3000000.0,11694528.0,7721,72.0,114.0,635,1000.0,989.0,744.0,220.0,2165,7.2,Good
4596,4597,105.0,2.0,USA,1000000.0,,1434,43.0,8.0,27,5.0,590.0,231.0,73.0,1042,5.2,Fair
2454,2455,117.0,0.0,Australia,,4806750.0,6091,53.0,83.0,0,78.0,989.0,258.0,238.0,1598,7.4,Good
1480,1481,93.0,1.0,Australia,30000000.0,,11482,82.0,145.0,0,0.0,465.0,351.0,174.0,1361,5.2,Fair
2083,2084,127.0,0.0,USA,20000000.0,75597042.0,26434,174.0,92.0,0,102.0,2000.0,1000.0,1000.0,6657,7.0,Good
4102,4103,89.0,1.0,USA,3000000.0,2223990.0,761,14.0,23.0,26,269.0,489.0,26.0,24.0,539,6.6,Good
3259,3260,98.0,1.0,USA,9500000.0,57176582.0,27492,84.0,55.0,0,41.0,723.0,706.0,525.0,3939,6.1,Good
526,527,110.0,0.0,USA,75000000.0,134568845.0,299852,713.0,316.0,0,335.0,11000.0,11000.0,988.0,25763,6.7,Good
650,651,103.0,0.0,USA,59000000.0,176387405.0,328159,467.0,193.0,3000,77.0,1000.0,939.0,835.0,5437,7.6,Good
237,238,92.0,0.0,USA,115000000.0,289907418.0,585659,593.0,250.0,0,0.0,12000.0,1000.0,773.0,15013,8.1,Excellent
3135,3136,123.0,1.0,USA,10000000.0,18272447.0,3119,35.0,14.0,331,5.0,556.0,475.0,338.0,2149,5.9,Fair
4586,4587,97.0,0.0,UK,1000000.0,144431.0,1290,13.0,40.0,587,10.0,102.0,7.0,5.0,118,7.3,Good
4438,4439,20.0,0.0,USA,1500000.0,,4120,70.0,56.0,0,21.0,0.0,0.0,0.0,0,6.8,Good
2921,2922,102.0,0.0,USA,12000000.0,75074950.0,22147,156.0,91.0,770,167.0,656.0,528.0,436.0,2754,6.3,Good
3730,3731,106.0,0.0,USA,5000000.0,17382982.0,5975,33.0,9.0,0,23.0,1000.0,694.0,467.0,2840,5.2,Fair
1241,1242,104.0,0.0,USA,43000000.0,47806295.0,87447,371.0,193.0,0,34.0,545.0,351.0,280.0,1274,6.5,Good
1327,1328,98.0,0.0,USA,23000000.0,50693162.0,136580,545.0,118.0,15000,295.0,720.0,581.0,380.0,2630,7.6,Good
1088,1089,110.0,1.0,USA,45000000.0,70001065.0,191437,582.0,184.0,0,45.0,886.0,650.0,595.0,3174,7.1,Good
133,134,113.0,7.0,USA,100000000.0,79711678.0,199039,479.0,526.0,82000,13000.0,40000.0,17000.0,16000.0,80849,6.2,Good
1438,1439,104.0,1.0,USA,35000000.0,39692139.0,84131,400.0,193.0,0,1000.0,24000.0,15000.0,939.0,41701,6.2,Good
1672,1673,139.0,0.0,USA,30000000.0,30513940.0,15843,104.0,165.0,11000,150.0,521.0,491.0,400.0,2060,6.9,Good
3066,3067,105.0,0.0,USA,,540085.0,10052,69.0,87.0,0,0.0,14000.0,12000.0,776.0,28004,6.3,Good
4875,4876,107.0,0.0,USA,,,18486,215.0,66.0,11000,63.0,135.0,115.0,76.0,457,7.0,Good
3936,3937,115.0,0.0,France,,,29440,110.0,332.0,12000,227.0,690.0,227.0,226.0,1298,7.1,Good
2064,2065,93.0,5.0,Ireland,23000000.0,18934858.0,72646,397.0,394.0,0,0.0,17000.0,13000.0,947.0,31187,5.8,Fair
1314,1315,91.0,8.0,USA,40000000.0,18438149.0,30842,93.0,70.0,0,48.0,61.0,46.0,39.0,222,5.9,Fair
2236,2237,106.0,0.0,USA,20000000.0,21200000.0,34774,162.0,59.0,1000,835.0,1000.0,967.0,458.0,3598,6.8,Good
4985,4986,99.0,0.0,Brazil,,,712,9.0,1.0,114,9.0,866.0,308.0,3.0,1179,6.4,Good
4509,4510,84.0,0.0,Canada,1200000.0,,1321,51.0,22.0,238,0.0,380.0,91.0,63.0,630,3.8,Bad
2994,2995,129.0,0.0,Hong Kong,12000000.0,261481.0,41496,210.0,194.0,0,0.0,878.0,643.0,576.0,2378,7.5,Good
1545,1546,107.0,6.0,USA,32000000.0,101470202.0,310540,669.0,418.0,97000,133.0,17000.0,11000.0,9000.0,38751,6.7,Good
810,811,132.0,0.0,USA,80000000.0,10166502.0,18209,183.0,81.0,0,131.0,11000.0,298.0,242.0,12133,6.7,Good
3528,3529,96.0,3.0,UK,7000000.0,196067.0,1966,25.0,39.0,97,5.0,766.0,358.0,52.0,1251,6.7,Good
4338,4339,108.0,1.0,USA,2000000.0,,583,14.0,2.0,651,531.0,10000.0,1000.0,894.0,15707,4.4,Fair
494,495,119.0,0.0,USA,44000000.0,21471685.0,65464,1308.0,174.0,0,64.0,743.0,117.0,41.0,971,2.4,Bad
2103,2104,104.0,5.0,USA,22000000.0,30059386.0,128593,867.0,181.0,0,0.0,8000.0,1000.0,898.0,11632,6.9,Good
758,759,92.0,1.0,USA,60000000.0,50024083.0,35918,126.0,47.0,1000,14.0,789.0,520.0,488.0,2318,5.4,Fair
2322,2323,134.0,0.0,Japan,2400000000.0,2298191.0,221552,570.0,174.0,11000,6000.0,893.0,851.0,745.0,2710,8.4,Excellent
2287,2288,98.0,2.0,Australia,20000000.0,10544143.0,16372,121.0,81.0,311,4.0,2000.0,1000.0,677.0,4843,6.1,Good
3599,3600,89.0,2.0,USA,6000000.0,13235267.0,12339,32.0,52.0,256,0.0,555.0,484.0,405.0,1752,2.9,Bad
99,100,106.0,2.0,USA,38000000.0,144512310.0,272223,988.0,187.0,14000,357.0,23000.0,14000.0,4000.0,45327,6.7,Good
1857,1858,99.0,0.0,Canada,26000000.0,13829734.0,16194,79.0,32.0,319,5.0,1000.0,691.0,535.0,2960,4.3,Fair
3388,3389,92.0,1.0,USA,8000000.0,58401464.0,276746,264.0,262.0,19000,87.0,15000.0,1000.0,424.0,16982,7.1,Good
3389,3390,110.0,0.0,USA,,8880705.0,1103,11.0,7.0,160,10.0,851.0,780.0,582.0,3293,6.5,Good
3375,3376,60.0,2.0,USA,,,5817,25.0,9.0,0,,666.0,579.0,460.0,4043,7.1,Good
