,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
426,427,86.0,3.0,USA,84000000.0,153288182.0,71424,521.0,138.0,0,67.0,4000.0,2000.0,271.0,6355,4.9,Fair
4763,4764,96.0,1.0,USA,500000.0,,38,3.0,9.0,16,3.0,387.0,244.0,205.0,1235,7.2,Good
2265,2266,225.0,6.0,USA,20000000.0,8000000.0,6484,100.0,27.0,1000,126.0,940.0,208.0,202.0,1934,6.6,Good
4166,4167,122.0,0.0,USA,2627000.0,,1553,27.0,9.0,116,149.0,760.0,675.0,315.0,2555,7.0,Good
2835,2836,117.0,0.0,USA,100000000.0,58607007.0,182910,630.0,492.0,60000,294.0,10000.0,2000.0,1000.0,14160,6.2,Good
2870,2871,99.0,3.0,USA,13000000.0,5871603.0,3116,39.0,39.0,251,7.0,3000.0,1000.0,730.0,6485,6.0,Fair
318,319,94.0,0.0,USA,84000000.0,17010646.0,40751,239.0,78.0,881,6.0,490.0,294.0,227.0,1195,2.2,Bad
3292,3293,116.0,2.0,USA,,90400000.0,102895,159.0,71.0,0,644.0,392.0,249.0,199.0,845,7.5,Good
3907,3908,119.0,0.0,USA,100000000.0,180011740.0,177729,1368.0,230.0,0,13000.0,1000.0,658.0,567.0,2776,5.7,Fair
3074,3075,193.0,2.0,India,700000000.0,3275443.0,13998,264.0,20.0,659,160.0,8000.0,1000.0,860.0,10822,6.0,Fair
38,39,142.0,0.0,USA,200000000.0,202853933.0,321227,1067.0,495.0,41000,464.0,15000.0,10000.0,825.0,28631,6.7,Good
300,301,104.0,0.0,USA,100000000.0,75030163.0,108076,1690.0,170.0,0,14.0,3000.0,762.0,203.0,4487,5.1,Fair
1696,1697,114.0,0.0,USA,30000000.0,12831121.0,44979,298.0,98.0,0,118.0,489.0,93.0,40.0,679,7.0,Good
146,147,196.0,2.0,USA,175000000.0,133228348.0,381672,1694.0,220.0,0,249.0,11000.0,5000.0,844.0,17944,7.2,Good
3662,3663,141.0,6.0,USA,5600000.0,3064356.0,3433,81.0,68.0,160,407.0,688.0,659.0,501.0,2584,6.9,Good
3524,3525,95.0,1.0,USA,10000000.0,306715.0,5143,62.0,12.0,724,43.0,1000.0,788.0,611.0,5213,2.3,Bad
1866,1867,125.0,5.0,USA,25000000.0,219200000.0,181380,223.0,57.0,0,0.0,49000.0,1000.0,711.0,52201,6.9,Good
2386,2387,97.0,8.0,Canada,15000000.0,20433940.0,78883,662.0,252.0,0,0.0,654.0,529.0,233.0,1876,6.2,Good
1402,1403,129.0,0.0,USA,29000000.0,255950375.0,223127,420.0,261.0,38000,102.0,768.0,734.0,624.0,3389,7.7,Good
2026,2027,137.0,1.0,USA,24000000.0,41895491.0,63274,170.0,84.0,12000,0.0,12000.0,443.0,161.0,12947,7.6,Good
3603,3604,,1.0,UK,,,9277,44.0,10.0,11000,,1000.0,888.0,502.0,4528,8.2,Excellent
3627,3628,95.0,3.0,USA,6000000.0,2025238.0,9589,105.0,84.0,289,8.0,244.0,230.0,15.0,489,5.8,Fair
3542,3543,111.0,5.0,USA,7000000.0,,39786,162.0,44.0,586,197.0,755.0,632.0,578.0,3009,4.8,Fair
2894,2895,100.0,0.0,Canada,12500000.0,,16281,96.0,62.0,0,218.0,581.0,201.0,91.0,931,7.4,Good
678,679,111.0,4.0,USA,45000000.0,36064910.0,166610,211.0,230.0,0,545.0,26000.0,872.0,805.0,28643,6.4,Good
2633,2634,104.0,1.0,USA,15000000.0,40064955.0,92074,502.0,154.0,0,0.0,4000.0,4000.0,1000.0,12170,6.4,Good
1388,1389,105.0,1.0,USA,37000000.0,20991497.0,39778,172.0,138.0,11000,488.0,15000.0,14000.0,13000.0,44037,5.4,Fair
691,692,133.0,1.0,USA,64000000.0,31054924.0,17025,290.0,96.0,295,521.0,11000.0,1000.0,970.0,16710,5.1,Fair
2450,2451,126.0,0.0,Russia,20000000.0,5701643.0,37635,165.0,160.0,0,44.0,627.0,12.0,9.0,653,7.3,Good
3435,3436,89.0,1.0,Hong Kong,7500000.0,32333860.0,29843,81.0,62.0,0,7.0,186.0,147.0,36.0,407,6.7,Good
166,167,138.0,0.0,USA,137000000.0,132122995.0,212106,1445.0,267.0,0,0.0,820.0,300.0,258.0,1814,5.7,Fair
2966,2967,113.0,1.0,USA,,12796277.0,41226,281.0,232.0,0,438.0,11000.0,536.0,471.0,12274,6.7,Good
3219,3220,101.0,0.0,France,60000000.0,231417.0,1649,21.0,34.0,33,324.0,678.0,541.0,28.0,1256,6.6,Good
2025,2026,88.0,4.0,USA,24000000.0,74608545.0,185258,404.0,123.0,0,480.0,8000.0,909.0,497.0,10325,7.2,Good
3425,3426,96.0,6.0,USA,8000000.0,,1965,24.0,21.0,438,2.0,31000.0,920.0,600.0,33858,4.6,Fair
1944,1945,136.0,0.0,USA,25000000.0,21554585.0,36108,109.0,48.0,0,0.0,18000.0,14000.0,3000.0,37315,6.9,Good
547,548,116.0,2.0,USA,75000000.0,45434443.0,175960,360.0,362.0,43000,0.0,15000.0,509.0,104.0,15735,7.3,Good
3703,3704,108.0,1.0,USA,5000000.0,43771291.0,79916,279.0,297.0,15000,0.0,1000.0,562.0,458.0,3215,7.1,Good
4341,4342,92.0,0.0,USA,2000000.0,,838,17.0,18.0,728,3.0,11000.0,1000.0,412.0,13583,3.4,Bad
2867,2868,95.0,4.0,USA,13000000.0,7881335.0,21212,107.0,52.0,3000,0.0,899.0,849.0,650.0,3092,6.7,Good
2485,2486,154.0,1.0,USA,18500000.0,85200000.0,488537,1076.0,250.0,18000,0.0,2000.0,626.0,604.0,4228,8.4,Excellent
1057,1058,113.0,0.0,USA,48000000.0,69304264.0,73068,419.0,152.0,0,323.0,1000.0,977.0,835.0,4660,6.8,Good
4164,4165,109.0,1.0,USA,2686585.0,,5786,65.0,27.0,573,673.0,756.0,370.0,359.0,1949,6.9,Good
1928,1929,144.0,6.0,France,25500000.0,41229.0,14612,41.0,91.0,0,0.0,15000.0,960.0,745.0,18442,6.5,Good
1519,1520,114.0,1.0,USA,34000000.0,6543194.0,3740,61.0,52.0,314,46.0,818.0,649.0,292.0,1778,5.6,Fair
2964,2965,100.0,1.0,USA,12000000.0,12902790.0,4052,88.0,24.0,242,98.0,1000.0,849.0,604.0,3250,6.6,Good
123,124,129.0,0.0,Australia,150000000.0,139259759.0,364948,2121.0,245.0,0,0.0,309.0,269.0,233.0,1062,6.7,Good
4262,4263,80.0,0.0,France,9500000.0,7002255.0,42462,312.0,167.0,0,162.0,23.0,6.0,0.0,29,7.8,Good
4319,4320,92.0,0.0,Canada,100000.0,,40380,235.0,116.0,0,6.0,253.0,113.0,103.0,762,6.1,Good
1709,1710,511.0,0.0,Iceland,,,2308,19.0,16.0,0,,147.0,63.0,51.0,307,8.2,Excellent
1089,1090,136.0,0.0,USA,30000000.0,67253092.0,92702,209.0,127.0,0,49.0,17000.0,807.0,730.0,20299,7.2,Good
2536,2537,108.0,2.0,USA,16500000.0,11702090.0,37700,50.0,72.0,0,18.0,714.0,701.0,433.0,2785,6.3,Good
632,633,87.0,0.0,USA,69000000.0,251501645.0,385943,296.0,304.0,31000,275.0,7000.0,2000.0,975.0,11608,7.7,Good
3414,3415,93.0,1.0,Canada,8000000.0,298110.0,25055,98.0,140.0,0,8.0,553.0,177.0,33.0,786,6.8,Good
206,207,123.0,1.0,USA,125000000.0,337103873.0,305008,591.0,403.0,52000,508.0,34000.0,22000.0,14000.0,81385,6.7,Good
4368,4369,114.0,3.0,USA,1800000.0,,25472,109.0,26.0,0,57.0,16000.0,844.0,426.0,18263,7.0,Good
1900,1901,101.0,0.0,USA,30000000.0,51097664.0,70205,450.0,180.0,0,21.0,22000.0,812.0,317.0,23328,5.9,Fair
273,274,115.0,1.0,USA,120000000.0,144795350.0,387632,789.0,225.0,0,295.0,10000.0,981.0,466.0,12068,7.1,Good
1634,1635,85.0,0.0,UK,30000000.0,56068547.0,98160,307.0,209.0,0,9.0,567.0,269.0,100.0,1145,7.5,Good
2570,2571,105.0,0.0,USA,20000000.0,13854000.0,21079,55.0,15.0,818,121.0,11000.0,3000.0,384.0,14677,5.2,Fair
538,539,124.0,0.0,USA,75000000.0,68473360.0,49536,379.0,134.0,0,258.0,867.0,826.0,748.0,3424,5.9,Fair
3244,3245,99.0,0.0,USA,10000000.0,,11285,82.0,62.0,509,71.0,298.0,258.0,126.0,934,5.7,Fair
278,279,22.0,0.0,,,,6,,,0,0.0,5.0,,,5,7.2,Good
3918,3919,127.0,0.0,USA,4000000.0,,12677,89.0,50.0,414,13000.0,204.0,187.0,148.0,753,6.3,Good
2246,2247,121.0,2.0,USA,20000000.0,,33597,185.0,52.0,0,503.0,2000.0,92.0,83.0,2251,7.0,Good
2967,2968,122.0,0.0,USA,12000000.0,,16764,48.0,34.0,1000,30.0,1000.0,230.0,85.0,1456,6.6,Good
376,377,128.0,1.0,UK,80000000.0,72515360.0,86152,411.0,227.0,0,521.0,591.0,249.0,249.0,2100,6.4,Good
3640,3641,117.0,2.0,USA,7840000.0,,6454,44.0,38.0,733,160.0,11000.0,949.0,898.0,15604,7.4,Good
3463,3464,104.0,0.0,Canada,7500000.0,,4099,29.0,36.0,0,249.0,294.0,284.0,96.0,835,5.1,Fair
2131,2132,136.0,1.0,USA,21000000.0,46700000.0,19832,98.0,43.0,0,16000.0,16000.0,281.0,216.0,16805,5.9,Fair
2913,2914,148.0,2.0,South Korea,12800000.0,1110186.0,31943,224.0,86.0,0,16.0,717.0,517.0,489.0,1730,8.1,Excellent
2439,2440,107.0,0.0,USA,18000000.0,,27629,149.0,120.0,2000,0.0,517.0,376.0,101.0,1067,7.4,Good
3161,3162,97.0,0.0,Germany,10000000.0,10561238.0,27265,321.0,77.0,0,31.0,4000.0,980.0,551.0,6388,6.5,Good
5025,5026,110.0,1.0,France,4500.0,136007.0,3924,39.0,81.0,171,107.0,576.0,133.0,45.0,776,6.9,Good
3739,3740,106.0,1.0,Mexico,2000000.0,13622333.0,91377,385.0,173.0,0,0.0,269.0,43.0,19.0,361,7.7,Good
1143,1144,325.0,0.0,USA,44000000.0,1500000.0,9830,189.0,102.0,1000,517.0,12000.0,849.0,678.0,14255,6.8,Good
1702,1703,107.0,2.0,USA,45000000.0,12026670.0,114241,258.0,376.0,24000,419.0,971.0,236.0,165.0,1643,6.4,Good
3424,3425,124.0,0.0,Canada,8000000.0,,4412,31.0,20.0,520,2.0,413.0,265.0,23.0,733,7.7,Good
4710,4711,103.0,4.0,USA,600000.0,23616.0,94,4.0,,11,0.0,23.0,20.0,20.0,85,5.6,Fair
4744,4745,90.0,5.0,USA,,342936.0,45928,106.0,155.0,0,217.0,10000.0,10000.0,243.0,20480,6.1,Good
3385,3386,138.0,0.0,USA,8000000.0,10269307.0,53251,188.0,91.0,0,78.0,12000.0,3000.0,968.0,17524,6.3,Good
192,193,138.0,2.0,USA,125000000.0,101160529.0,200022,1240.0,434.0,71000,0.0,12000.0,9000.0,8000.0,32355,5.8,Fair
2679,2680,131.0,0.0,USA,15000000.0,15700000.0,332065,876.0,388.0,16000,0.0,10000.0,602.0,383.0,11114,7.6,Good
438,439,142.0,0.0,USA,78000000.0,407999255.0,701607,1959.0,673.0,140000,378.0,34000.0,14000.0,575.0,49942,7.3,Good
2802,2803,137.0,0.0,USA,26000000.0,5459824.0,92781,320.0,251.0,5000,143.0,14000.0,617.0,280.0,15337,7.6,Good
3097,3098,101.0,0.0,UK,10000000.0,55865715.0,41763,403.0,173.0,0,13.0,494.0,392.0,368.0,2013,5.5,Fair
4314,4315,91.0,1.0,UK,,5824.0,57811,357.0,161.0,0,43.0,13000.0,698.0,418.0,14561,6.8,Good
1102,1103,94.0,1.0,France,45000000.0,50648679.0,149549,348.0,216.0,0,85.0,14000.0,706.0,443.0,16225,6.3,Good
2231,2232,119.0,1.0,Australia,20000000.0,21413105.0,15230,97.0,20.0,0,23.0,25000.0,19000.0,748.0,45841,6.8,Good
2057,2058,126.0,1.0,USA,23000000.0,25556065.0,355126,748.0,574.0,148000,0.0,19000.0,128.0,105.0,19359,8.0,Good
4879,4880,66.0,2.0,USA,250000.0,,6,1.0,1.0,53,0.0,0.0,0.0,0.0,0,7.8,Good
2603,2604,110.0,2.0,USA,15000000.0,176781728.0,219171,388.0,173.0,19000,12000.0,10000.0,1000.0,555.0,13069,6.9,Good
3502,3503,122.0,1.0,UK,7000000.0,6601079.0,17436,276.0,119.0,0,98.0,729.0,579.0,397.0,2321,6.2,Good
3160,3161,89.0,0.0,USA,10000000.0,10824921.0,200293,621.0,144.0,16000,406.0,989.0,939.0,759.0,3462,7.8,Good
3309,3310,84.0,0.0,USA,9000000.0,11860839.0,5156,21.0,67.0,0,64.0,2000.0,892.0,748.0,4617,5.4,Fair
1831,1832,91.0,1.0,USA,26000000.0,20819129.0,84209,201.0,167.0,0,41.0,567.0,402.0,328.0,2954,5.2,Fair
4254,4255,102.0,1.0,Hong Kong,2000000.0,11546543.0,34520,146.0,77.0,0,32.0,483.0,147.0,75.0,768,7.6,Good
3866,3867,133.0,0.0,USA,4400000.0,112000000.0,680041,760.0,149.0,32000,869.0,888.0,721.0,425.0,2176,8.7,Excellent
3551,3552,88.0,8.0,Ireland,,828.0,5133,31.0,54.0,663,11.0,1000.0,418.0,415.0,2728,6.4,Good
2431,2432,107.0,13.0,USA,17000000.0,26284475.0,9051,68.0,97.0,0,24.0,10000.0,566.0,85.0,10691,5.7,Fair
2407,2408,89.0,0.0,USA,20000000.0,43818159.0,27664,260.0,146.0,1000,29.0,2000.0,690.0,458.0,4867,3.9,Bad
4076,4077,186.0,0.0,USA,3000000.0,,44457,176.0,73.0,0,176.0,877.0,862.0,760.0,3847,8.3,Excellent
3959,3960,96.0,1.0,USA,3950000.0,,3753,53.0,35.0,279,177.0,431.0,12.0,4.0,457,7.8,Good
4400,4401,110.0,0.0,USA,26000000.0,58885635.0,194426,1057.0,287.0,7000,0.0,3000.0,2000.0,1000.0,10438,7.4,Good
3764,3765,91.0,0.0,USA,5000000.0,5480318.0,9427,79.0,60.0,462,84.0,1000.0,778.0,572.0,2691,6.6,Good
2525,2526,120.0,1.0,France,17000000.0,106869.0,13762,39.0,106.0,0,30.0,14000.0,287.0,55.0,14492,6.6,Good
1338,1339,108.0,1.0,USA,38000000.0,127214072.0,83786,392.0,97.0,0,72.0,982.0,935.0,559.0,4251,6.1,Good
3512,3513,100.0,0.0,USA,7000000.0,2148212.0,781,20.0,25.0,157,0.0,655.0,476.0,359.0,1906,6.3,Good
4644,4645,85.0,0.0,USA,900000.0,16097842.0,53919,168.0,327.0,17000,0.0,282.0,270.0,88.0,687,7.5,Good
1745,1746,94.0,0.0,USA,29000000.0,6301131.0,92850,263.0,161.0,0,11.0,1000.0,948.0,566.0,5085,7.1,Good
3514,3515,99.0,0.0,USA,7000000.0,1654367.0,18355,106.0,117.0,3000,60.0,4000.0,787.0,628.0,6526,6.4,Good
1173,1174,100.0,1.0,New Zealand,45000000.0,5664251.0,22309,102.0,95.0,0,19.0,624.0,489.0,433.0,2056,6.3,Good
1853,1854,113.0,15.0,USA,56000000.0,54540525.0,66579,134.0,200.0,20000,0.0,22000.0,988.0,307.0,23456,5.7,Fair
762,763,116.0,0.0,USA,75000000.0,47748610.0,170179,656.0,223.0,0,0.0,1000.0,720.0,672.0,3090,6.3,Good
26,27,147.0,0.0,USA,250000000.0,407197282.0,272670,1022.0,516.0,72000,94.0,21000.0,19000.0,11000.0,64798,8.2,Excellent
3666,3667,105.0,9.0,USA,,531806.0,548,6.0,9.0,277,12.0,25.0,11.0,10.0,72,3.4,Bad
2186,2187,96.0,0.0,USA,20000000.0,47852604.0,62364,337.0,184.0,0,9.0,826.0,626.0,107.0,1825,5.9,Fair
57,58,98.0,0.0,USA,180000000.0,223806889.0,718837,1043.0,421.0,16000,475.0,1000.0,729.0,522.0,2975,8.4,Excellent
2225,2226,109.0,6.0,UK,20000000.0,26003149.0,185587,401.0,427.0,49000,1000.0,177.0,55.0,24.0,278,7.0,Good
2338,2339,118.0,0.0,France,140000000.0,146072.0,7147,16.0,8.0,136,8.0,106.0,56.0,11.0,182,6.0,Fair
4617,4618,89.0,0.0,USA,500000.0,,3650,39.0,64.0,0,23.0,199.0,37.0,23.0,292,5.1,Fair
3832,3833,87.0,6.0,USA,4700000.0,,1427,12.0,4.0,491,20.0,571.0,345.0,329.0,2006,3.2,Bad
2409,2410,113.0,1.0,USA,18000000.0,43601508.0,35718,317.0,111.0,0,22.0,727.0,171.0,148.0,1310,6.7,Good
1063,1064,105.0,1.0,USA,46000000.0,126805112.0,98199,169.0,84.0,0,29.0,8000.0,1000.0,692.0,12344,6.3,Good
3647,3648,101.0,2.0,Canada,6000000.0,,1696,19.0,37.0,1000,24.0,933.0,767.0,130.0,1940,7.2,Good
4432,4433,124.0,0.0,USA,1700000.0,183490.0,463,8.0,35.0,594,407.0,38.0,8.0,7.0,60,5.8,Fair
4600,4601,78.0,0.0,USA,1000000.0,10018.0,3228,31.0,71.0,244,0.0,262.0,163.0,61.0,509,6.1,Good
1682,1683,94.0,1.0,USA,30000000.0,18500966.0,70341,830.0,158.0,0,110.0,14000.0,829.0,277.0,15271,4.4,Fair
4546,4547,89.0,1.0,USA,1000000.0,,2636,36.0,39.0,365,0.0,356.0,110.0,102.0,831,6.2,Good
4596,4597,105.0,2.0,USA,1000000.0,,1434,43.0,8.0,27,5.0,590.0,231.0,73.0,1042,5.2,Fair
4093,4094,98.0,0.0,USA,3000000.0,3902679.0,3943,49.0,22.0,217,16.0,687.0,233.0,222.0,1806,5.3,Fair
3152,3153,89.0,5.0,USA,,15102127.0,17790,59.0,83.0,0,23.0,839.0,700.0,503.0,3973,5.8,Fair
2466,2467,114.0,0.0,France,18000000.0,,2541,20.0,59.0,342,157.0,84.0,35.0,32.0,198,5.5,Fair
4989,4990,111.0,0.0,USA,50000.0,,61,1.0,12.0,5,6.0,,,,0,6.0,Fair
2659,2660,107.0,1.0,USA,15000000.0,28014536.0,73347,296.0,111.0,0,5.0,893.0,822.0,141.0,2044,7.4,Good
558,559,84.0,0.0,USA,,90820.0,35510,119.0,130.0,0,10.0,3000.0,552.0,394.0,4368,6.0,Fair
3101,3102,100.0,8.0,USA,10000000.0,50752337.0,44502,46.0,22.0,0,65.0,633.0,613.0,577.0,3362,6.4,Good
4952,4953,120.0,1.0,USA,10000000.0,,1197,8.0,21.0,0,664.0,990.0,664.0,400.0,3525,5.4,Fair
291,292,106.0,1.0,USA,100000000.0,65452312.0,149998,285.0,267.0,0,12000.0,18000.0,464.0,385.0,19906,6.4,Good
2549,2550,80.0,2.0,USA,16000000.0,40363530.0,18254,307.0,56.0,1000,11.0,911.0,521.0,499.0,3058,3.3,Bad
1175,1176,105.0,4.0,France,27000000.0,1260917.0,24657,71.0,213.0,0,0.0,1000.0,172.0,52.0,1342,7.2,Good
662,663,137.0,0.0,USA,65000000.0,115603980.0,103589,351.0,322.0,35000,11000.0,769.0,698.0,465.0,2938,7.2,Good
